ticker,nom,prix,ouverture,haut,bas,cloture_veille,variation_pct,variation_1h,variation_7j,volume,market_cap,rang,ath,supply,bid,ask,devise,categorie,source,statut,collecte_le,nb_trades_24h
AAPL,,280.14,278.86,287.22,278.37,276.54,1.3,,,79844600,4109006331178.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:34:59,
MSFT,,414.44,412.8,417.11,410.44,408.651,1.42,,,31330100,3078640496861.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:35:00,
NVDA,,198.45,201.28,203.0,197.12,200.0097,-0.78,,,128257500,4823327175827.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:35:01,
GOOGL,,385.69,381.63,386.76,379.05,385.5999,0.02,,,30075200,4672805685334.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:35:02,
AMZN,,268.26,265.58,273.32,262.74,264.06,1.59,,,50780000,2884935692621.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:35:03,
TSLA,,390.82,382.49,397.82,378.8,381.38,2.48,,,65210000,1467812030771.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:35:05,
META,,608.75,614.69,618.88,606.11,613.5499,-0.78,,,21357400,1545265186310.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 18:35:06,
^GSPC,,7230.1201,7234.54,7272.52,7229.3198,7209.01,0.29,,,4847390000,,,,,,,USD,indice,yahoo_finance,succes,2026-05-03 18:35:07,
^DJI,,49499.2695,49832.5703,49988.5586,49496.4688,49652.14,-0.31,,,465300000,,,,,,,USD,indice,yahoo_finance,succes,2026-05-03 18:35:09,
^IXIC,,25114.4395,24977.7891,25223.1191,24967.0898,24892.312,0.89,,,7534290000,,,,,,,USD,indice,yahoo_finance,succes,2026-05-03 18:35:11,
^FCHI,,8114.8398,7962.8398,8115.0801,7957.8301,8064.0,0.63,,,98730200,,,,,,,EUR,indice,yahoo_finance,succes,2026-05-03 18:35:12,
^GDAXI,,24292.3809,23715.7109,24293.1094,23715.7109,23954.56,1.41,,,76834200,,,,,,,EUR,indice,yahoo_finance,succes,2026-05-03 18:35:14,
^FTSE,,10363.9004,10378.4004,10378.5,10294.2002,10378.82,-0.14,,,857577100,,,,,,,GBP,indice,yahoo_finance,succes,2026-05-03 18:35:15,
