ticker,nom,prix,ouverture,haut,bas,cloture_veille,variation_pct,variation_1h,variation_7j,volume,market_cap,rang,ath,supply,bid,ask,devise,categorie,source,statut,collecte_le,nb_trades_24h
AAPL,,280.14,278.86,287.22,278.37,276.54,1.3,,,79844600,4109006331178.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:45:59,
MSFT,,414.44,412.8,417.11,410.44,408.651,1.42,,,31330100,3078640496861.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:46:00,
NVDA,,198.45,201.28,203.0,197.12,200.0097,-0.78,,,128257500,4823327175827.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:46:01,
GOOGL,,385.69,381.63,386.76,379.05,385.5999,0.02,,,30075200,4672805685334.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:46:02,
AMZN,,268.26,265.58,273.32,262.74,264.06,1.59,,,50780000,2884935692621.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:46:03,
TSLA,,390.82,382.49,397.82,378.8,381.38,2.48,,,65210000,1467812030771.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:46:04,
META,,608.75,614.69,618.88,606.11,613.5499,-0.78,,,21357400,1545265186310.0,,,,,,USD,action,yahoo_finance,succes,2026-05-03 15:46:05,
^GSPC,,7230.1201,7234.54,7272.52,7229.3198,7209.01,0.29,,,4847390000,,,,,,,USD,indice,yahoo_finance,succes,2026-05-03 15:46:06,
^DJI,,49499.2695,49832.5703,49988.5586,49496.4688,49652.14,-0.31,,,465300000,,,,,,,USD,indice,yahoo_finance,succes,2026-05-03 15:46:08,
^IXIC,,25114.4395,24977.7891,25223.1191,24967.0898,24892.312,0.89,,,7534290000,,,,,,,USD,indice,yahoo_finance,succes,2026-05-03 15:46:09,
^FCHI,,8114.8398,7962.8398,8115.0801,7957.8301,8064.0,0.63,,,98730200,,,,,,,EUR,indice,yahoo_finance,succes,2026-05-03 15:46:11,
^GDAXI,,24292.3809,23715.7109,24293.1094,23715.7109,23954.56,1.41,,,76834200,,,,,,,EUR,indice,yahoo_finance,succes,2026-05-03 15:46:12,
^FTSE,,10363.9004,10378.4004,10378.5,10294.2002,10378.82,-0.14,,,857577100,,,,,,,GBP,indice,yahoo_finance,succes,2026-05-03 15:46:14,
TTE.PA,,79.29,79.1,79.45,76.96,78.26,1.32,,,6401781,176537239200.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 15:46:15,
BN.PA,,66.74,65.8,66.84,65.7,66.16,0.88,,,1376529,42725142116.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 15:46:16,
AIR.PA,,174.88,172.42,177.72,171.82,175.32,-0.25,,,1997905,137670391889.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 15:46:17,
SAN.PA,,79.82,78.28,80.09,77.91,78.12,2.18,,,2411779,96029005925.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 15:46:18,
OR.PA,,366.05,360.8,366.05,359.4,363.8,0.62,,,467263,195391270883.0,,,,,,EUR,action_fr,yahoo_finance,succes,2026-05-03 15:46:19,
BTC-USD,Bitcoin,78688.0,,79005.0,78095.0,78413.19,0.3505,0.0643,0.9584,18190778512,1575442251509.0,1,126080.0,20023521.0,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
ETH-USD,Ethereum,2324.88,,2334.38,2299.38,2306.19,0.8105,0.0937,-0.1607,8340564567,280572317053.0,2,4946.05,120687427.1983002,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
XRP-USD,XRP,1.39,,1.4,1.38,1.3851,0.3548,-0.0369,-2.1221,1058107782,86154504885.0,4,3.65,61796225236.0,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
BNB-USD,BNB,619.8,,620.37,615.18,616.92,0.4675,0.1967,-1.7827,663530380,83527499215.0,5,1369.99,134785998.84,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
SOL-USD,Solana,84.3,,84.78,83.59,83.9442,0.4239,0.3044,-2.0794,1644514943,48589399420.0,7,293.31,576327217.5532292,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
DOGE-USD,Dogecoin,0.108686,,0.109268,0.107208,0.1088,-0.0617,0.1308,9.8918,1021192331,16738780505.0,10,0.731578,154079746383.7052,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
ADA-USD,Cardano,0.249993,,0.251903,0.247563,0.2494,0.2491,0.0483,-1.0001,232486868,9237615560.0,15,3.09,36974724813.05008,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
DOT-USD,Polkadot,1.21,,1.24,1.21,1.2104,-0.0334,0.0433,-4.2545,117758812,2030796255.0,43,54.98,1682078750.618022,,,USD,crypto,coingecko,succes,2026-05-03 15:46:21,
BTC-USD,,78702.48,78400.32,79199.48,78084.08,78400.33,0.385,,,446054349,,,,,78702.48,78702.49,USD,crypto,binance,succes,2026-05-03 15:46:24,1040079.0
ETH-USD,,2325.51,2306.2,2343.6,2297.59,2306.2,0.837,,,256514658,,,,,2325.51,2325.52,USD,crypto,binance,succes,2026-05-03 15:46:24,1005794.0
BNB-USD,,619.78,616.79,621.81,615.09,616.78,0.485,,,39493073,,,,,619.78,619.79,USD,crypto,binance,succes,2026-05-03 15:46:24,329849.0
ADA-USD,,0.2501,0.2496,0.2528,0.2475,0.2497,0.2,,,13517430,,,,,0.2501,0.2502,USD,crypto,binance,succes,2026-05-03 15:46:24,42966.0
